SOLUTION SEQUENCE
0: fill_box(depot,robot,box4,gauze,depot)
1: load_carrier(depot,robot,helicopter,pos4,box4,depot)
2: fill_box(depot,robot,box3,pear,depot)
3: load_carrier(depot,robot,helicopter,pos3,box3,depot)
4: fill_box(depot,robot,box5,paracetamol,depot)
5: load_carrier(depot,robot,helicopter,pos1,box5,depot)
6: move_carrier_with_box(depot,Trento,robot,helicopter,depot,pos4)
7: unload_carrier(Trento,robot,helicopter,pos4,box4)
8: unload_carrier(Trento,robot,helicopter,pos3,box3)
9: unload_carrier(Trento,robot,helicopter,pos1,box5)
10: deliver_medicine(Trento,robot,Chiara,box5,paracetamol)
11: deliver_food(Trento,robot,Matteo,box3,pear)
12: deliver_tool(Trento,robot,Matteo,box4,gauze)
13: move_carrier_without_box(Trento,depot,robot,helicopter,depot,pos1,pos2,pos3,pos4)
14: fill_box(depot,robot,box1,morphine,depot)
15: load_carrier(depot,robot,helicopter,pos2,box1,depot)
16: fill_box(depot,robot,box6,apple,depot)
17: check_location(depot,Trento,robot)
18: load_carrier(depot,robot,helicopter,pos4,box6,depot)
19: fill_box(depot,robot,box2,bandaid,depot)
20: load_carrier(depot,robot,helicopter,pos1,box2,depot)
21: move_carrier_with_box(depot,Povo,robot,helicopter,depot,pos2)
22: unload_carrier(Povo,robot,helicopter,pos2,box1)
23: unload_carrier(Povo,robot,helicopter,pos1,box2)
24: deliver_medicine(Povo,robot,Marta,box1,morphine)
25: unload_carrier(Povo,robot,helicopter,pos4,box6)
26: deliver_food(Povo,robot,Marta,box6,apple)
27: deliver_tool(Povo,robot,Marta,box2,bandaid)
28: check_location(Povo,Povo,robot)
29: move_carrier_without_box(Povo,depot,robot,helicopter,depot,pos1,pos2,pos3,pos4)
